STATE,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CHANDIGARH,KIDNAPPING,56,54,1628,54,54,65,56,54,1628,54,54,65
CHHATTISGARH,KIDNAPPING,207,178,2427,214,246,239,207,178,2427,214,246,239
D & N HAVELI,KIDNAPPING,4,9,32,12,13,18,4,9,32,12,13,18
DAMAN & DIU,KIDNAPPING,5,3,177,2,4,3,5,3,177,2,4,3
DELHI UT,KIDNAPPING,151,128,7,110,151,155,151,128,7,110,151,155
GOA,KIDNAPPING,9,9,1,13,17,16,9,9,1,13,17,16
GUJARAT,KIDNAPPING,998,1015,105,1133,1164,1128,998,1015,105,1133,1164,1128
HARYANA,KIDNAPPING,449,427,14,423,492,635,449,427,14,423,492,635
HIMACHAL PRADESH,KIDNAPPING,126,138,1044,123,118,130,126,138,1044,123,118,130
JAMMU & KASHMIR,KIDNAPPING,606,674,388,735,748,789,606,674,388,735,748,789
JHARKHAND,KIDNAPPING,441,468,113,468,621,635,441,468,113,468,621,635
KARNATAKA,KIDNAPPING,559,645,712,592,589,563,559,645,712,592,589,563
KERALA,KIDNAPPING,183,162,487,232,226,294,183,162,487,232,226,294
LAKSHADWEEP,KIDNAPPING,0,0,531,0,0,0,0,0,531,0,0,0
MADHYA PRADESH,KIDNAPPING,956,964,189,832,847,808,956,964,189,832,847,808
MAHARASHTRA,KIDNAPPING,985,953,0,1045,1194,1261,985,953,0,1045,1194,1261
MANIPUR,KIDNAPPING,94,157,887,128,106,130,94,157,887,128,106,130
MEGHALAYA,KIDNAPPING,55,52,926,54,48,57,55,52,926,54,48,57
MIZORAM,KIDNAPPING,2,7,120,15,13,6,2,7,120,15,13,6
NAGALAND,KIDNAPPING,23,27,49,23,26,31,23,27,49,23,26,31
ODISHA,KIDNAPPING,522,523,8,526,641,704,522,523,8,526,641,704
PUDUCHERRY,KIDNAPPING,4,10,38,10,6,13,4,10,38,10,6,13
PUNJAB,KIDNAPPING,513,551,477,463,478,591,513,551,477,463,478,591
RAJASTHAN,KIDNAPPING,2718,2587,18,2384,1993,1970,2718,2587,18,2384,1993,1970
SIKKIM,KIDNAPPING,6,9,464,5,3,8,6,9,464,5,3,8
TAMIL NADU,KIDNAPPING,952,1001,2238,870,1029,906,952,1001,2238,870,1029,906
