STATE,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
D & N HAVELI,DOWRY DEATHS,0,0,12613,0,0,1,0,0,12613,0,0,1
DAMAN & DIU,DOWRY DEATHS,0,0,58,0,1,0,0,0,58,0,1,0
DELHI UT,DOWRY DEATHS,18,27,60,24,10,17,18,27,60,24,10,17
GOA,DOWRY DEATHS,2,2,23408,2,2,0,2,2,23408,2,2,0
GUJARAT,DOWRY DEATHS,67,62,370,58,48,50,67,62,370,58,48,50
HARYANA,DOWRY DEATHS,285,256,5525,251,212,255,285,256,5525,251,212,255
HIMACHAL PRADESH,DOWRY DEATHS,10,6,10124,8,2,3,10,6,10124,8,2,3
JAMMU & KASHMIR,DOWRY DEATHS,13,18,1238,9,5,10,13,18,1238,9,5,10
JHARKHAND,DOWRY DEATHS,217,275,4170,275,257,281,217,275,4170,275,257,281
KARNATAKA,DOWRY DEATHS,220,233,61,259,261,244,220,233,61,259,261,244
KERALA,DOWRY DEATHS,27,17,46,31,21,25,27,17,46,31,21,25
LAKSHADWEEP,DOWRY DEATHS,0,0,2035,0,0,0,0,0,2035,0,0,0
MADHYA PRADESH,DOWRY DEATHS,609,674,464,751,739,764,609,674,464,751,739,764
MAHARASHTRA,DOWRY DEATHS,308,303,19304,314,341,387,308,303,19304,314,341,387
MANIPUR,DOWRY DEATHS,0,0,5591,0,0,0,0,0,5591,0,0,0
MEGHALAYA,DOWRY DEATHS,0,0,627,2,1,6,0,0,627,2,1,6
MIZORAM,DOWRY DEATHS,0,0,1949,0,4,0,0,0,1949,0,4,0
NAGALAND,DOWRY DEATHS,0,0,4155,0,0,0,0,0,4155,0,0,0
ODISHA,DOWRY DEATHS,294,248,14180,319,334,457,294,248,14180,319,334,457
PUDUCHERRY,DOWRY DEATHS,1,5,4891,6,4,2,1,5,4891,6,4,2
PUNJAB,DOWRY DEATHS,159,166,8,113,99,130,159,166,8,113,99,130
RAJASTHAN,DOWRY DEATHS,376,399,20422,379,361,394,376,399,20422,379,361,394
SIKKIM,DOWRY DEATHS,0,0,37098,0,0,0,0,0,37098,0,0,0
TAMIL NADU,DOWRY DEATHS,191,243,252,225,215,187,191,243,252,225,215,187
TRIPURA,DOWRY DEATHS,16,16,360,20,34,35,16,16,360,20,34,35
UTTAR PRADESH,DOWRY DEATHS,2211,1893,1303,1708,1564,1798,2211,1893,1303,1708,1564,1798
UTTARAKHAND,DOWRY DEATHS,56,66,221,82,63,80,56,66,221,82,63,80
WEST BENGAL,DOWRY DEATHS,265,273,5359,396,446,445,265,273,5359,396,446,445
